fldId,fldSerialNumber,fldDate,fldUserRef,fldKey,fldCount,Year,Month,Day,Day_of_week
183011721,7415,2025-02-05,1031,Deal.Accessories.OEM,5,2025,2,5,Wednesday
183012087,7415,2025-02-05,2173,Deal.Accessories.OEM,1,2025,2,5,Wednesday
183041448,3179,2025-02-06,6,Deal.Accessories.OEM,12,2025,2,6,Thursday
183388708,7696,2025-02-06,209,Deal.Accessories.OEM,1,2025,2,6,Thursday
183291260,7717,2025-02-06,262,Deal.Accessories.OEM,1,2025,2,6,Thursday
183156058,5234,2025-02-06,430,Deal.Accessories.OEM,2,2025,2,6,Thursday
183156308,5234,2025-02-06,496,Deal.Accessories.OEM,2,2025,2,6,Thursday
183156740,5235,2025-02-06,512,Deal.Accessories.OEM,2,2025,2,6,Thursday
183477294,7415,2025-02-06,1028,Deal.Accessories.OEM,2,2025,2,6,Thursday
183477329,7415,2025-02-06,1031,Deal.Accessories.OEM,6,2025,2,6,Thursday
183156342,5234,2025-02-06,1110,Deal.Accessories.OEM,6,2025,2,6,Thursday
183777658,3027,2025-02-07,-1,Deal.Accessories.OEM,1,2025,2,7,Friday
183533661,6172,2025-02-07,96,Deal.Accessories.OEM,2,2025,2,7,Friday
183757923,7717,2025-02-07,262,Deal.Accessories.OEM,5,2025,2,7,Friday
183618731,5235,2025-02-07,524,Deal.Accessories.OEM,1,2025,2,7,Friday
183924691,7415,2025-02-07,1031,Deal.Accessories.OEM,3,2025,2,7,Friday
183618256,5234,2025-02-07,1110,Deal.Accessories.OEM,5,2025,2,7,Friday
183946374,5622,2025-02-08,29,Deal.Accessories.OEM,2,2025,2,8,Saturday
183946383,5622,2025-02-08,32,Deal.Accessories.OEM,2,2025,2,8,Saturday
183979105,5644,2025-02-08,164,Deal.Accessories.OEM,2,2025,2,8,Saturday
184010998,7717,2025-02-08,262,Deal.Accessories.OEM,1,2025,2,8,Saturday
184029996,5234,2025-02-08,430,Deal.Accessories.OEM,12,2025,2,8,Saturday
184030141,5234,2025-02-08,496,Deal.Accessories.OEM,1,2025,2,8,Saturday
184030521,5235,2025-02-08,511,Deal.Accessories.OEM,2,2025,2,8,Saturday
184030547,5235,2025-02-08,512,Deal.Accessories.OEM,8,2025,2,8,Saturday
184030610,5235,2025-02-08,524,Deal.Accessories.OEM,7,2025,2,8,Saturday
184096554,7415,2025-02-08,1030,Deal.Accessories.OEM,2,2025,2,8,Saturday
184096575,7415,2025-02-08,1031,Deal.Accessories.OEM,2,2025,2,8,Saturday
184030175,5234,2025-02-08,1110,Deal.Accessories.OEM,8,2025,2,8,Saturday
184126125,7415,2025-02-09,1028,Deal.Accessories.OEM,1,2025,2,9,Sunday
